v_id,v_name,v_dist,v_cat
4db03c875da32cf2df4509f4,Big Daddy's Caribbean Taste Restaurant,1008,Caribbean Restaurant
4c66e0068e9120a15929d964,Kaieteur Restaurant & Bakery,1011,Caribbean Restaurant
508af256e4b0578944c87392,Cooler Runnings Jamaican Restaurant Inc,479,Caribbean Restaurant
4be5f0eacf200f47d1fa133c,McDonald's,904,Fast Food Restaurant
4c994113a004a1cdc3393e6e,Bay 241 Restaurant & Lounge,792,Caribbean Restaurant
4ce164f194c3b60c246f76ea,New Happy Joy,1041,Chinese Restaurant
4f32aa4719836c91c7edd32c,Cool Running Restaurant,396,Food
54012323498e26f9ff2394c9,Golden Fountain Restaurant,752,Caribbean Restaurant
4c010e75cf3aa593825eccb0,241 St Cafe & Restaurant,1019,American Restaurant
4d8d1bd4d265236a66daea16,Lovette's,928,Restaurant
4f32a44719836c91c7eb92fc,Fort Negril Jamaican Restaurant,485,Food
4d375ce799fe8eec99fd2355,Ripe Kitchen & Bar,798,Caribbean Restaurant
4f0b6ab1e4b0260f5cc93f54,Island Taste Cuisine Restaurant,995,Caribbean Restaurant
4c700f4db5a5236a82ff4e52,Carifesta Restaurant,810,Halal Restaurant
505d19b6e4b04d802ae06efe,Margaritaville Restaurant and Lounge,958,Caribbean Restaurant
4dbf038d432d1849fa379c49,excellent taste restaurant,740,Asian Restaurant
4f32b15e19836c91c7f07487,Pheola's Cariibbean Restaurant,760,Food
4f32860f19836c91c7e02954,Silver Chimes Restaurant,734,Food
4e4de629bd4101d0d79dae81,Ming's Wok Chinese Restaurant,949,Chinese Restaurant
58192066e3997657ad776527,El Jobo Seafood Restaurant,736,Latin American Restaurant
4f32534919836c91c7cca527,All Island Seafood Restaurant,784,Seafood Restaurant
4e4de619bd4101d0d79dace5,C & M Restaurant,817,Restaurant
4e4cdefcbd413c4cc66cd6aa,Carifesta Halal Restaurant,806,Restaurant
5434ade0498e442d0bc24fc0,Lammy's Restaurant,999,Caribbean Restaurant
4bec3ac661aca5935cfe8500,El Mangu Tipico Restaurant,753,Spanish Restaurant
4f32419e19836c91c7c5a3f5,In Thing Jamaican Restaurant,952,Food
4f32828e19836c91c7decf11,Arawak Jamaican Restaurant,968,Food
4f402190e4b0f960358cc2e6,Barry's West Indian & American Restaurant,987,American Restaurant
4cd303ff4944721eee5feaa6,Jacky Chen's Chinese Restaurant,889,Chinese Restaurant
4f324bcc19836c91c7c9b571,Crystals Restaurant and Bar,992,Food
4f32700e19836c91c7d7c606,Two Four One St Cafe Restaurant,1010,Food
4f32b46219836c91c7f193ed,Hoy Lung Restaurant,1015,Food
5ab1a68a6f706a4277d71b1f,Ms. Cherry's Restaurant,1028,Restaurant
4cd3edd25366548131a129ed,E&L Bakery,851,Bakery
4f328e9219836c91c7e36a1e,Yard Style Caribbean Restaurant and Bakery,1185,Bakery
4e408ac27d8be0ba11bcf551,Sabor Latino Restaurant,1017,Latin American Restaurant
4be2b79d660ec9284d04ca3b,Townhouse Restaurant,218,Restaurant
4c9d5f2654c8a1cd2e71834b,Guang Hui Chinese Restaurant,257,Chinese Restaurant
4be2ecf6b02ec9b6a5064ec0,Caridad & Louie,1145,Spanish Restaurant
4bb0ebe3f964a5205c6a3ce3,Applebee's Grill + Bar,948,American Restaurant
4c7001dfdf6b8cfa56c9b64d,Seven Seas,467,Restaurant
507abbb8e4b07e75d9ab1889,TOWN  HOUSE RESTAURANT 129 DREISER LOOP CO-OP CITY,853,American Restaurant
