v_name,v_cat,avg_dist_2_neighborhood,cnt_near_neighborhood,restaurant_id
Cooler Runnings Jamaican Restaurant Inc,Caribbean Restaurant,479.0,1,508af256e4b0578944c87392
McDonald's,Fast Food Restaurant,904.0,1,4be5f0eacf200f47d1fa133c
Bay 241 Restaurant & Lounge,Caribbean Restaurant,792.0,1,4c994113a004a1cdc3393e6e
New Happy Joy,Chinese Restaurant,1041.0,1,4ce164f194c3b60c246f76ea
Cool Running Restaurant,Food,396.0,1,4f32aa4719836c91c7edd32c
241 St Cafe & Restaurant,American Restaurant,1019.0,1,4c010e75cf3aa593825eccb0
Lovette's,Restaurant,928.0,1,4d8d1bd4d265236a66daea16
Fort Negril Jamaican Restaurant,Food,485.0,1,4f32a44719836c91c7eb92fc
Ripe Kitchen & Bar,Caribbean Restaurant,798.0,1,4d375ce799fe8eec99fd2355
Island Taste Cuisine Restaurant,Caribbean Restaurant,995.0,1,4f0b6ab1e4b0260f5cc93f54
Margaritaville Restaurant and Lounge,Caribbean Restaurant,958.0,1,505d19b6e4b04d802ae06efe
In Thing Jamaican Restaurant,Food,952.0,1,4f32419e19836c91c7c5a3f5
Crystals Restaurant and Bar,Food,992.0,1,4f324bcc19836c91c7c9b571
Two Four One St Cafe Restaurant,Food,1010.0,1,4f32700e19836c91c7d7c606
Ms. Cherry's Restaurant,Restaurant,1028.0,1,5ab1a68a6f706a4277d71b1f
Townhouse Restaurant,Restaurant,218.0,1,4be2b79d660ec9284d04ca3b
Xing Lung Chinese Restaurant,Chinese Restaurant,318.0,1,4dabc3dc93a04642f09ccabd
Restaurant Depot,Kitchen Supply Store,1243.0,1,4baa6a69f964a5200b683ae3
Cozy Cottage Restaurant,Diner,137.0,1,4c54720972cf0f47df1094d4
Jimmy's Best Chinese Restaurant,Asian Restaurant,556.0,1,4c0dac537189c928c871d7b6
Kim Wong Chinese Restaurant Co,Chinese Restaurant,463.0,1,4f32600c19836c91c7d19ce6
TOWN  HOUSE RESTAURANT 129 DREISER LOOP CO-OP CITY,American Restaurant,743.0,2,507abbb8e4b07e75d9ab1889
Michael's Italian Family Restaurant,Food,595.0,1,4f3240b019836c91c7c54727
Best Chinese Restaurant,Chinese Restaurant,940.0,2,4e4df7aabd4101d0d79f4760
Pimento Caribbean Restaurant,Caribbean Restaurant,507.0,1,4c6c47ec1fb2a1434807fbe6
Guang Hui Chinese Restaurant,Chinese Restaurant,743.0,2,4c9d5f2654c8a1cd2e71834b
Santa Fe Grill & Bar,Mexican Restaurant,803.0,1,4b78ba71f964a5209fdf2ee3
Uptown Coffeehouse,Music Venue,501.5,2,4bddf2af0ee3a593dc4b2fb0
Mon Amour Coffee & Wine,Coffee Shop,424.0,1,5660c06b498e4003dba169a5
Riverdale Garden Restaurant & Lounge,Other Nightlife,852.5,2,4e9d991fd5fbfc17a6b95b70
Guan Hin Restaurant,Chinese Restaurant,466.0,1,4e3b11c98877b00cfc27a483
Boca Loca Restaurant,Latin American Restaurant,465.0,1,4feba1c9e4b0367e6123bf4c
Acapella Gourmet Pizza & Restaurant,Pizza Place,469.0,1,55906dbb498e4edbe4888785
